dataset,field,dtype,route,pit_rule,feature_family,meaning,allowed_use
uplimit_stocks,up_limit_type,string,minute_event_or_tplus1,event_row_available_after_up_limit_time_or_T_plus_1_daily,event_state_category,limit-up type category,minute_event_or_tplus1
uplimit_stocks,dataset,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
uplimit_stocks,request_date,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
uplimit_stocks,download_time,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
open_sentiment_data,lb_2_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,board_ladder,2-board count,lagged_daily_context
open_sentiment_data,gt5_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_breadth,greater-than-5pct count,lagged_daily_context
open_sentiment_data,max_lb_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,board_ladder,max board height,lagged_daily_context
open_sentiment_data,downlimit_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_limit_breadth,market down-limit count,lagged_daily_context
open_sentiment_data,second_lb_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,board_ladder,second-board count,lagged_daily_context
open_sentiment_data,lb_3_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,board_ladder,3-board count,lagged_daily_context
open_sentiment_data,id,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
open_sentiment_data,damian_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,loss_effect,large loss-effect count,lagged_daily_context
open_sentiment_data,tiandi_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,loss_effect,sky-to-floor count,lagged_daily_context
open_sentiment_data,mian_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,loss_effect,loss-effect count,lagged_daily_context
open_sentiment_data,ditian_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,reversal_effect,floor-to-sky count,lagged_daily_context
open_sentiment_data,fb_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_limit_structure,failed-board count,lagged_daily_context
open_sentiment_data,bigleg_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,loss_effect,large intraday reversal count,lagged_daily_context
open_sentiment_data,max_lb_stocks,string,diagnostic_context,T_plus_1_lagged_daily_context,board_identity_list,max-streak stock list; expand before selector use,diagnostic_context
open_sentiment_data,date1,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
open_sentiment_data,uplimit_n_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_limit_breadth,non-first limit-up count,lagged_daily_context
open_sentiment_data,lt5_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_breadth,less-than-minus-5pct count,lagged_daily_context
open_sentiment_data,lb_h_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,board_ladder,high-board/limit-streak height count,lagged_daily_context
open_sentiment_data,uplimit_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_limit_breadth,market limit-up count,lagged_daily_context
open_sentiment_data,up_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_breadth,up stock count,lagged_daily_context
open_sentiment_data,zb_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_limit_structure,open-board count,lagged_daily_context
open_sentiment_data,down_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,market_breadth,down stock count,lagged_daily_context
open_sentiment_data,dataset,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
open_sentiment_data,request_date,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
open_sentiment_data,download_time,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
sentiment_hot_day,errcode,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
sentiment_hot_day,tip,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
sentiment_hot_day,ttag,string,diagnostic_context,T_plus_1_lagged_daily_context,sentiment_state_raw,vendor tag raw field,diagnostic_context
sentiment_hot_day,Day,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
sentiment_hot_day,df_num,string,lagged_daily_context,T_plus_1_lagged_daily_context,sentiment_hot_state,daily loss-effect/hot state proxy,lagged_daily_context
sentiment_hot_day,lbgd,string,lagged_daily_context,T_plus_1_lagged_daily_context,sentiment_hot_state,board ladder height proxy,lagged_daily_context
sentiment_hot_day,strong,string,lagged_daily_context,T_plus_1_lagged_daily_context,sentiment_strength,daily sentiment strength,lagged_daily_context
sentiment_hot_day,ztjs,string,lagged_daily_context,T_plus_1_lagged_daily_context,sentiment_limit_count,hot limit-up count,lagged_daily_context
sentiment_hot_day,dataset,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
sentiment_hot_day,request_date,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
sentiment_hot_day,download_time,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
ths_hot_top,circulation_value,string,lagged_daily_stock_context,T_plus_1_lagged_daily_stock_context,stock_hot_capacity,hot-stock circulation value,lagged_daily_stock_context
ths_hot_top,collect_date,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
ths_hot_top,id,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
ths_hot_top,last_pct,string,lagged_daily_stock_context,T_plus_1_lagged_daily_stock_context,stock_hot_return_state,"close-derived return state, T+1 only",lagged_daily_stock_context
ths_hot_top,last_price,string,lagged_daily_stock_context,T_plus_1_lagged_daily_stock_context,stock_hot_price_state,"close-derived price state, T+1 only",lagged_daily_stock_context
ths_hot_top,rank,string,lagged_daily_stock_context,T_plus_1_lagged_daily_stock_context,stock_hot_rank,THS hot rank,lagged_daily_stock_context
ths_hot_top,rank_diff,string,lagged_daily_stock_context,T_plus_1_lagged_daily_stock_context,stock_hot_rank_change,THS hot rank delta,lagged_daily_stock_context
ths_hot_top,symbol_code,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
ths_hot_top,symbol_name,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
ths_hot_top,update_time,string,key_or_timestamp,join_key_or_time_contract,key,join/time key,join key only
ths_hot_top,dataset,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
ths_hot_top,request_date,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
ths_hot_top,download_time,string,metadata,not_alpha_feature,metadata,download/source metadata,audit only
