panel_field,source_group,dataset,raw_field,route,field_family,data_type,materialized_path,materialization_mode,required_keys,missing_keys,raw_field_exists,materialization_status,block_reason,pit_rule
ctx_fulla_bs_accept_deposit_interbank,fundamental_pit_silver,fundamental_balance_long,ACCEPT_DEPOSIT_INTERBANK,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_appoint_fvtpl_finasset,fundamental_pit_silver,fundamental_balance_long,APPOINT_FVTPL_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_appoint_fvtpl_finliab,fundamental_pit_silver,fundamental_balance_long,APPOINT_FVTPL_FINLIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_asset_balance,fundamental_pit_silver,fundamental_balance_long,ASSET_BALANCE,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_asset_other,fundamental_pit_silver,fundamental_balance_long,ASSET_OTHER,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_assign_cash_dividend,fundamental_pit_silver,fundamental_balance_long,ASSIGN_CASH_DIVIDEND,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_available_sale_finasset,fundamental_pit_silver,fundamental_balance_long,AVAILABLE_SALE_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_bond_payable,fundamental_pit_silver,fundamental_balance_long,BOND_PAYABLE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_borrow_fund,fundamental_pit_silver,fundamental_balance_long,BORROW_FUND,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_buy_resale_finasset,fundamental_pit_silver,fundamental_balance_long,BUY_RESALE_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_capital_reserve,fundamental_pit_silver,fundamental_balance_long,CAPITAL_RESERVE,announcement_pit_feature,capacity_size,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_cip,fundamental_pit_silver,fundamental_balance_long,CIP,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_consumptive_biological_asset,fundamental_pit_silver,fundamental_balance_long,CONSUMPTIVE_BIOLOGICAL_ASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_contract_asset,fundamental_pit_silver,fundamental_balance_long,CONTRACT_ASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_contract_liab,fundamental_pit_silver,fundamental_balance_long,CONTRACT_LIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_convert_diff,fundamental_pit_silver,fundamental_balance_long,CONVERT_DIFF,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_creditor_invest,fundamental_pit_silver,fundamental_balance_long,CREDITOR_INVEST,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_current_asset_balance,fundamental_pit_silver,fundamental_balance_long,CURRENT_ASSET_BALANCE,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_current_asset_other,fundamental_pit_silver,fundamental_balance_long,CURRENT_ASSET_OTHER,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_current_liab_balance,fundamental_pit_silver,fundamental_balance_long,CURRENT_LIAB_BALANCE,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_current_liab_other,fundamental_pit_silver,fundamental_balance_long,CURRENT_LIAB_OTHER,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_defer_income,fundamental_pit_silver,fundamental_balance_long,DEFER_INCOME,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_defer_income_1year,fundamental_pit_silver,fundamental_balance_long,DEFER_INCOME_1YEAR,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_defer_tax_asset,fundamental_pit_silver,fundamental_balance_long,DEFER_TAX_ASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_defer_tax_liab,fundamental_pit_silver,fundamental_balance_long,DEFER_TAX_LIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_derive_finasset,fundamental_pit_silver,fundamental_balance_long,DERIVE_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_derive_finliab,fundamental_pit_silver,fundamental_balance_long,DERIVE_FINLIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_develop_expense,fundamental_pit_silver,fundamental_balance_long,DEVELOP_EXPENSE,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_div_holdsale_asset,fundamental_pit_silver,fundamental_balance_long,DIV_HOLDSALE_ASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_div_holdsale_liab,fundamental_pit_silver,fundamental_balance_long,DIV_HOLDSALE_LIAB,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_dividend_payable,fundamental_pit_silver,fundamental_balance_long,DIVIDEND_PAYABLE,announcement_pit_feature,holder_corporate_action,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_dividend_rece,fundamental_pit_silver,fundamental_balance_long,DIVIDEND_RECE,announcement_pit_feature,holder_corporate_action,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_equity_balance,fundamental_pit_silver,fundamental_balance_long,EQUITY_BALANCE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_equity_other,fundamental_pit_silver,fundamental_balance_long,EQUITY_OTHER,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_export_refund_rece,fundamental_pit_silver,fundamental_balance_long,EXPORT_REFUND_RECE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fee_commission_payable,fundamental_pit_silver,fundamental_balance_long,FEE_COMMISSION_PAYABLE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fin_fund,fundamental_pit_silver,fundamental_balance_long,FIN_FUND,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_finance_rece,fundamental_pit_silver,fundamental_balance_long,FINANCE_RECE,announcement_pit_feature,other_numeric,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fixed_asset,fundamental_pit_silver,fundamental_balance_long,FIXED_ASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fixed_asset_disposal,fundamental_pit_silver,fundamental_balance_long,FIXED_ASSET_DISPOSAL,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fvtoci_finasset,fundamental_pit_silver,fundamental_balance_long,FVTOCI_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fvtoci_ncfinasset,fundamental_pit_silver,fundamental_balance_long,FVTOCI_NCFINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
ctx_fulla_bs_fvtpl_finasset,fundamental_pit_silver,fundamental_balance_long,FVTPL_FINASSET,announcement_pit_feature,fundamental_quality_risk,double,G:\Project_V7_Rotation\data\cn_public_enrichment\cn_fundamental_akshare_fullA_silver_gold_pit_v1_20260603\silver_long\fundamental_balance_long.parquet,latest_notice_or_update_lagged_daily_context,source_code6|NOTICE_DATE|REPORT_DATE,,True,materializable,ok,NOTICE_DATE or UPDATE_DATE plus conservative next-trading-day lag; REPORT_DATE alone forbidden
