source_root,dataset,field_name,raw_kind,source_grain,field_family,route,visibility_class,selector_role,system_destination,pit_rule,recommended_transforms,priority,next_action,probe_path,probe_n,probe_params,plate_type,contract_path,contract_source,frequency_hint,pit_note,is_probe_only
cn_zzshare_advanced_field_probe_v1_20260602,uplimit_stocks,up_limit_type,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_advanced_field_probe_v1_20260602\advanced_field_historical_coverage_probe.csv,6,,,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,amount,probe_schema,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,auction_buy,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,auction_money,probe_schema,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,auction_offer,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,auction_pre1max_ratio,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,auction_turnover,probe_schema,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,fd_close,probe_schema,timestamped_event,price_state,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_momentum|mean_reversion|gap|volatility|rank_xsection,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,fd_max,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,market_c,probe_schema,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,market_c_c,probe_schema,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,plate_code,probe_schema,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_moneyflow_probe_v1_20260602,uplimit_stocks_20260529,up_limit_type,probe_schema,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,cn_zzshare_moneyflow_probe_v1_20260602\schema_probe_report.csv,,{},,,,,,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,actualcirculation_value,field_contract,timestamped_event,capacity_size,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|rank_xsection|capacity_bucket|liquidity_capacity_interaction|small_capacity_guard,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,amount,field_contract,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,feng_circulation_rate,field_contract,timestamped_event,capacity_size,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|rank_xsection|capacity_bucket|liquidity_capacity_interaction|small_capacity_guard,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_money,field_contract,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_rate,field_contract,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,fengdan_volumn,field_contract,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,market_type,field_contract,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,plate_code,field_contract,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,plate_score,field_contract,timestamped_event,group_market_context,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,group_density|theme_strength|group_neutralization|interaction_only|regime_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,stock_price,field_contract,timestamped_event,price_state,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_momentum|mean_reversion|gap|volatility|rank_xsection,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,turnover_ration_real,field_contract,timestamped_event,flow_liquidity,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,lagged_level|delta_3_5_10|zscore_20|rank_xsection|amount_to_float_mcap|turnover_bucket,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
cn_zzshare_uplimit_history_silver_v1_20260531,review_uplimit_reason,up_limit_type,field_contract,timestamped_event,limit_event_sentiment,timestamped_event_feature,event_time_or_tplus1,event_module_candidate_not_daily_after_open,event_time_evaluator_or_lagged_daily_event_panel,same-day use is allowed only after event timestamp; daily after-open use needs lag1 materialization,event_flag|event_age|streak_lifecycle_n|open_touch_not_close|seal_strength|auction_pressure|same_count_placebo_required,very_high,split into lag1 daily variants and event-time evaluator variants before replay,,,,,cn_zzshare_uplimit_history_silver_v1_20260531\field_contract.csv,zzshare/api.zizizaizai.com,,Historical limit-up and market sentiment source; not OHLCV-derived.,
