field,route,true_1min_status,reason,available_after,formula_usage_count
ctx_fulla_bs_derive_finasset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_derive_finliab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_develop_expense,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_develop_expense_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_dividend_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_dividend_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_dividend_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_dividend_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_equity_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_finance_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_finance_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_fixed_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_fixed_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_goodwill,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_goodwill_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_intangible_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_intangible_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_interest_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_interest_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_inventory,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_inventory_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_invest_realestate,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_invest_realestate_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_lease_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_lease_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_liab_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_equity_invest,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_equity_invest_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_loan,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_loan_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_prepaid_expense,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_prepaid_expense_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_staffsalary_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_long_staffsalary_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_minority_equity,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_minority_equity_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_monetaryfunds,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_monetaryfunds_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_noncurrent_asset_1year,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_noncurrent_asset_1year_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_noncurrent_asset_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_noncurrent_liab_1year,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_noncurrent_liab_1year_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_noncurrent_liab_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_accounts_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_accounts_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_accounts_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_accounts_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_note_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_compre_income,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_compre_income_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_current_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_current_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_current_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_current_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_equity_invest,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_equity_invest_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_equity_tool,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_equity_tool_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_noncurrent_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_noncurrent_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_noncurrent_finasset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_noncurrent_finasset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_noncurrent_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_other_noncurrent_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_parent_equity_balance,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_predict_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_predict_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_prepayment,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_prepayment_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_productive_biology_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_share_capital,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_share_capital_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_short_loan,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_short_loan_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_special_reserve,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_special_reserve_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_staff_salary_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_staff_salary_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_surplus_reserve,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_surplus_reserve_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_tax_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_tax_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_assets,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,9
ctx_fulla_bs_total_assets_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_current_assets,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_total_current_assets_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_current_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_total_current_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_equity,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_total_equity_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_liab_equity,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_liab_equity_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_liabilities,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,3
ctx_fulla_bs_total_liabilities_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_noncurrent_assets,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_noncurrent_assets_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_noncurrent_liab,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_noncurrent_liab_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_other_payable,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_other_payable_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_other_rece,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_other_rece_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_parent_equity,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_total_parent_equity_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_trade_finasset_notfvtpl,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_trade_finasset_notfvtpl_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_trade_finliab_notfvtpl,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_treasury_shares,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_treasury_shares_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_unassign_rpofit,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_unassign_rpofit_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_useright_asset,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_bs_useright_asset_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_able_oci,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_able_oci_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_acf_end_income,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_asset_disposal_income,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_asset_disposal_income_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_asset_impairment_income,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_asset_impairment_income_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_basic_eps,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_basic_eps_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_cashflow_hedge_valid,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_continued_netprofit,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
ctx_fulla_ps_continued_netprofit_yoy,current_daily_or_derived_panel_only,requires_route_mapping_or_rederivation,present in current diagnostic panel but not in raw 1min/field contracts,,2
