cluster_id,candidate_uid,in_l2_daily_proxy_book,grade,daily_proxy_pass,proof_status_before_deep_tests,audit_decision,representative_expression,source_lane,source_phase,field_count,operator_count,field_list,operator_list,p90_turnover,cost_adjusted_score,capacity_proxy,new_vs_149_proxy,subperiod_stability_status,regime_stability_status,sign_flip_placebo_status,low_order_ablation_status,minute_execution_capacity_status,missing_tests,required_next_action
cluster_001,phase3j_locked:cluster_001,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))),ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))))))",formula_gen_v2_repair_expansion,Phase3J,2,5,$amount|$final_float_market_cap,CSRank|Mul|Sign|Std|ZScore,0.100297,3.727779,124777879.491,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s47_cluster_003,phase3k_b_fresh:s47_cluster_003,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mean($close,34))",r0_cem_led,Phase3K-B,1,2,$close,CSRank|Mean,0.032797,4.30643,32814617.295,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s49_cluster_008,phase3k_b_fresh:s49_cluster_008,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,1,7,$close,Abs|CSRank|Delta|Mean|Mul|Neg|ZScore,0.098279,3.080926,25480245.859,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s48_cluster_008,phase3k_b_fresh:s48_cluster_008,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($amount),21))))",r0_cem_led,Phase3K-B,2,5,$amount|$close,Abs|CSRank|Mean|Mul|ZScore,0.051814,2.384678,69497058.628,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s47_cluster_005,phase3k_b_fresh:s47_cluster_005,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(Mean($vwap,5)),Mul(CSRank(Std($open,8)),ZScore(Mean(Abs(Delta($vwap,1)),21)))))",agnostic_freeform_ast,Phase3K-B,2,8,$open|$vwap,Abs|CSRank|Delta|Mean|Mul|Sign|Std|ZScore,0.189713,3.481296,25906560.294,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s50_cluster_003,phase3k_b_fresh:s50_cluster_003,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Std($close,21))",r0_cem_led,Phase3K-B,1,2,$close,CSRank|Std,0.082567,4.186631,22952094.072,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s49_cluster_005,phase3k_b_fresh:s49_cluster_005,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mul(ZScore($amount),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,2,6,$amount|$close,Abs|CSRank|Delta|Mean|Mul|ZScore,0.227858,3.568546,35105354.828,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_004,phase3j_locked:cluster_004,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))",formula_gen_v2_repair_expansion,Phase3J,2,5,$amount|$close,CSRank|Mul|Sign|Std|ZScore,0.219893,2.788897,48305024.689,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_016,phase3j_locked:cluster_016,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))",agnostic_freeform_ast,Phase3J,2,3,$final_float_market_cap|$high,CSRank|Sub|ZScore,0.061503,2.629757,20861176.64,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
registry_112,registry149:registry_112,False,B,False,HOLD_DAILY_PROXY_RISK,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs(Delta($final_float_market_cap,1)),5)),Mul(ZScore(Mean($final_total_market_cap,34)),ZScore($high))))",agnostic_freeform_ast,Phase3E,3,6,$final_float_market_cap|$final_total_market_cap|$high,Abs|CSRank|Delta|Mean|Mul|ZScore,0.069145,6.029984,,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s47_cluster_014,phase3k_b_fresh:s47_cluster_014,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs($close),2)),ZScore(Mean(Abs($close),2))))",r0_cem_led,Phase3K-B,1,5,$close,Abs|CSRank|Mean|Mul|ZScore,0.209031,2.326107,31418563.936,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s50_cluster_002,phase3k_b_fresh:s50_cluster_002,False,B,False,HOLD_DAILY_PROXY_RISK,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs(Delta($close,1)),34)),Mul(CSRank(Mom($high,3)),Sign($high))))",agnostic_freeform_ast,Phase3K-B,2,8,$close|$high,Abs|CSRank|Delta|Mean|Mom|Mul|Sign|ZScore,0.390044,16.47198,23085495.562,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s47_cluster_012,phase3k_b_fresh:s47_cluster_012,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Std($volume,5)),Mul(CSRank(Std($final_total_market_cap,34)),ZScore(Std($high,8)))))",agnostic_freeform_ast,Phase3K-B,3,4,$final_total_market_cap|$high|$volume,CSRank|Mul|Std|ZScore,0.157326,2.932785,32417481.551,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s47_cluster_002,phase3k_b_fresh:s47_cluster_002,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank($amount),Mul(Sign($high),CSRank($high))))",agnostic_freeform_ast,Phase3K-B,2,3,$amount|$high,CSRank|Mul|Sign,0.202809,2.234978,59230204.14,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_005,phase3j_locked:cluster_005,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))",r0_cem_led,Phase3J,2,4,$close|$final_float_market_cap,CSRank|Mul|Std|ZScore,0.186745,2.183766,66173875.644,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s48_cluster_003,phase3k_b_fresh:s48_cluster_003,False,B,False,HOLD_DAILY_PROXY_RISK,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,8)))))",r0_cem_led,Phase3K-B,2,4,$amount|$volume,CSRank|CSResidual|Neg|Std,0.293238,4.244284,11826138.032,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_035,phase3j_locked:cluster_035,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mean($amount,34))",r0_cem_led,Phase3J,1,2,$amount,CSRank|Mean,0.057486,1.193926,90645992.819,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_013,phase3j_locked:cluster_013,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))",agnostic_freeform_ast,Phase3J,3,5,$close|$open|$turnover_rate,CSRank|Mean|Mul|Std|ZScore,0.148873,2.706367,6941141.852,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_003,phase3j_locked:cluster_003,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,21)))))",r0_cem_led,Phase3J,2,4,$amount|$volume,CSRank|CSResidual|Neg|Std,0.302583,3.497901,8286721.671,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_027,phase3j_locked:cluster_027,False,B,False,RESERVE_DAILY_PROXY__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(CSResidual(ZScore(Mean($vwap,3)),CSRank(Std($high,21))))",agnostic_freeform_ast,Phase3J,2,5,$high|$vwap,CSRank|CSResidual|Mean|Std|ZScore,0.08501,1.064067,32125730.722,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
